sample_id	treatment	season	genotype	description	pH_total	TA	DIC	H_nmol	pCO2	OmegaArag	DIC_H_ratio	temp_mean
1AS	A	Summer	1	Tmt1_Summer_Rep1	7.765	2074.5	1915.45670801512	17.2795998036341	772.026187157741	1.9216766583996	111948.213299158	26.9444444444444
1AW	A	Winter	2	Tmt1_Winter_Rep1	7.79571428571429	2092.55714285714	1938.52181331949	16.1650456235149	720.978606547778	1.84644538879086	122323.725757556	23.9214285714286
1BS	B	Summer	3	Tmt2_Summer_Rep1	7.7725	2165.475	1998.68541571543	16.9884346947546	791.016007404359	2.03991341516849	118906.915438011	27.0555555555556
1BW	B	Winter	4	Tmt2_Winter_Rep1	7.81714285714286	2184.24285714286	2016.38862607453	15.4625033076172	716.728606307876	2.01967776771317	134035.931316764	23.9714285714286
1CS	C	Summer	5	Tmt3_Summer_Rep1	7.9225	2081.6	1850.54147480204	12.0068489431219	505.691476678498	2.61038088105514	155383.005344986	27.0666666666667
1CW	C	Winter	6	Tmt3_Winter_Rep1	7.95428571428571	2089.67142857143	1865.84119686005	11.1656890319326	468.17557649967	2.49988261093671	168774.213047296	23.9928571428571
1DS	D	Summer	7	Ambient_Summer_Rep1	8.0525	2173.65	1865.38341149532	8.87242721303483	365.970202905536	3.43416082737555	210669.088092336	27.05
1DW	D	Winter	8	Ambient_Winter_Rep1	8.09857142857143	2180.77142857143	1872.70645637213	8.00702509927246	326.928162078094	3.3835923004936	235979.41619581	23.9357142857143
2AS	A	Summer	9	Tmt1_Summer_Rep2	7.735	2079.875	1933.17203121618	18.4870770488443	835.956393720549	1.81070951859956	105305.580764297	26.9444444444444
2AW	A	Winter	10	Tmt1_Winter_Rep2	7.78142857142857	2084.17142857143	1936.26818379931	16.6606694340025	743.056124461036	1.78682241141125	117877.839952755	23.9785714285714
2BS	B	Summer	11	Tmt2_Summer_Rep2	7.79	2167.275	1993.56048878651	16.2374556797586	751.299548109078	2.10417630364053	123050.347317753	27
2BW	B	Winter	12	Tmt2_Winter_Rep2	7.81857142857143	2176.51428571429	2009.01883632657	15.3157117508615	705.918129056011	2.01012990175542	133336.849167583	23.9571428571429
2CS	C	Summer	13	Tmt3_Summer_Rep2	7.9475	2081.575	1838.50389745984	11.3280386767709	471.92869229357	2.72813773302187	163326.235738015	27.0833333333333
2CW	C	Winter	14	Tmt3_Winter_Rep2	7.97142857142857	2090.91428571429	1858.4455044852	10.7425704583661	447.489936692752	2.58419804522315	174994.669108665	24
2DS	D	Summer	15	Ambient_Summer_Rep2	8.0525	2172.575	1863.88981871472	8.87847492098651	366.103799812134	3.44108101919778	210613.787264237	27.0611111111111
2DW	D	Winter	16	Ambient_Winter_Rep2	8.09285714285714	2176.54285714286	1872.45180652768	8.10903654254374	331.36934011727	3.34033957245984	232797.972864318	23.9142857142857
3AS	A	Summer	17	Tmt1_Summer_Rep3	7.745	2071.2	1921.31300606866	18.0285201062107	808.875597848002	1.83518912486984	106958.166216685	26.9
3AW	A	Winter	18	Tmt1_Winter_Rep3	7.81	2087.47142857143	1928.20922212152	15.579442438269	689.569480268565	1.89044073259544	125225.378711009	23.95
3BS	B	Summer	19	Tmt2_Summer_Rep3	7.815	2167.8	1983.07405868162	15.3320052071975	703.39008345719	2.2085583704204	129695.272987289	27.0222222222222
3BW	B	Winter	20	Tmt2_Winter_Rep3	7.85142857142857	2186.41428571429	2004.39338899987	14.195353645741	650.009071214427	2.15007547675612	143452.975312155	23.9142857142857
3CS	C	Summer	21	Tmt3_Summer_Rep3	7.9575	2067.9	1820.09406929026	11.0673072829374	455.52569255031	2.77032350058528	165490.774310112	27.1555555555556
3CW	C	Winter	22	Tmt3_Winter_Rep3	7.94571428571429	2097.91428571429	1877.94308329116	11.381269009019	481.026094337229	2.46639404150069	166402.849945555	23.9571428571429
3DS	D	Summer	23	Ambient_Summer_Rep3	8.06	2162.875	1850.59667913129	8.7177992501453	356.051133038392	3.47141846545717	212632.457735011	27.1055555555556
3DW	D	Winter	24	Ambient_Winter_Rep3	8.1128571428571	2179.37142857143	1862.76368230151	7.74545344974504	313.44935359847	3.46886303353113	242464.90770599	23.9857142857143
